district,from,gender,to,year,week
chennai,hindu,M,islam,2015,42
kancheepuram,hindu,F,christian,2015,42
chennai,christian,F,islam,2015,42
pondicherry,hindu,M,christian,2015,42
pondicherry,hindu,F,christian,2015,42
villupuram,hindu,M,islam,2015,42
chennai,hindu,F,christian,2015,42
tiruvallur,hindu,M,christian,2015,42
krishnagiri,christian,F,hindu,2015,42
ariyalur,hindu,M,christian,2015,42
chennai,islam,M,hindu,2015,42
krishnagiri,christian,F,hindu,2015,42
chennai,hindu,F,islam,2015,42
chennai,islam,M,hindu,2015,42
chennai,hindu,F,islam,2015,42
ramanathapuram,hindu,M,islam,2015,42
tirunelveli,christian,M,hindu,2015,42
nagapattinam,christian,M,hindu,2015,42
kanyakumari,christian,M,islam,2015,42
bangalore-karnataka,hindu,F,christian,2015,42
tirunelveli,hindu,M,christian,2015,42
kanyakumari,christian,M,islam,2015,42
ramanathapuram,hindu,F,islam,2015,42
virudhunagar,hindu,F,islam,2015,42
chennai,christian,M,islam,2015,42
vellore,hindu,F,islam,2015,42
chennai,hindu,F,islam,2015,42
erode,hindu,M,islam,2015,42
chennai,hindu,F,islam,2015,42
vellore,hindu,M,christian,2015,42
jabalpur-madhya-pradesh,hindu,F,islam,2015,42
ramanathapuram,hindu,M,islam,2015,42
tiruvallur,hindu,M,christian,2015,42
chennai,hindu,F,islam,2015,42
chennai,hindu,M,christian,2015,42
chennai,hindu,F,islam,2015,42
kanyakumari,islam,F,hindu,2015,42
thoothukkudi,hindu,M,christian,2015,42
tiruvallur,UNK,M,UNK,2015,42
chennai,hindu,F,islam,2015,42
thanjavur,hindu,F,islam,2015,42
tiruchirapalli,christian,M,hindu,2015,42
ariyalur,hindu,M,islam,2015,42
chennai,hindu,F,christian,2015,42
nagapattinam,hindu,F,islam,2015,42
chennai,islam,F,christian,2015,42
nagapattinam,hindu,F,christian,2015,42
chennai,hindu,F,islam,2015,42
nagapattinam,hindu,F,christian,2015,42
chennai,islam,F,hindu,2015,42
the nilgiris,christian,M,islam,2015,42
vellore,hindu,F,islam,2015,42
karur,islam,F,christian,2015,42
tiruvallur,hindu,M,christian,2015,42
kanyakumari,hindu,M,christian,2015,42
chennai,hindu,F,christian,2015,42
thoothukkudi,hindu,F,christian,2015,42
salem,hindu,F,islam,2015,42
cuddalore,hindu,F,christian,2015,42
chennai,hindu,M,christian,2015,42
tiruvallur,islam,M,hindu,2015,42
coimbatore,islam,M,hindu,2015,42
chennai,hindu,F,islam,2015,42
nagapattinam,hindu,M,islam,2015,10
virudhunagar,hindu,M,islam,2015,10
coimbatore,hindu,F,islam,2015,10
virudhunagar,hindu,M,christian,2015,10
thoothukkudi,christian,M,islam,2015,10
kancheepuram,hindu,M,islam,2015,10
ramanathapuram,christian,F,hindu,2015,10
thoothukkudi,hindu,M,islam,2015,10
salem,hindu,M,islam,2015,10
tiruchirappalli,christian,M,islam,2015,10
coimbatore,hindu,M,islam,2015,10
villupuram,hindu,F,islam,2015,10
kancheepuram,hindu,F,islam,2015,10
thoothukkudi,hindu,M,islam,2015,10
madurai,hindu,F,christian,2015,10
virudhunagar,hindu,F,islam,2015,10
theni,christian,M,hindu,2015,10
sivagangai,hindu,M,islam,2015,10
virudhunagar,hindu,M,christian,2015,10
theni,christian,F,islam,2015,10
ramanathapuram,hindu,F,islam,2015,10
thoothukkudi,hindu,M,islam,2015,10
madurai,hindu,F,islam,2015,10
tiruppur,hindu,F,islam,2015,10
madurai,hindu,M,christian,2015,10
coimbatore,hindu,F,islam,2015,10
tiruchirappalli,christian,F,hindu,2015,10
coimbatore,hindu,F,islam,2015,10
tiruchirappalli,hindu,M,islam,2015,10
tiruchirappalli,islam,M,hindu,2015,10
dindigul,hindu,F,christian,2015,10
the nilgiris,hindu,M,christian,2015,10
chennai,hindu,F,islam,2015,10
tiruppur,hindu,F,christian,2015,10
ramanathapuram,hindu,M,islam,2015,10
tiruppur,hindu,F,christian,2015,10
kancheepuram,hindu,M,christian,2015,10
virudhunagar,hindu,F,islam,2015,10
chennai,hindu,F,christian,2015,10
tiruppur,hindu,F,christian,2015,10
tiruvallur,hindu,M,christian,2015,10
tiruppur,hindu,M,christian,2015,10
chennai,hindu,F,islam,2015,10
erode,christian,F,islam,2015,10
cuddalore,hindu,F,islam,2015,10
chennai,hindu,F,islam,2015,10
chennai,christian,M,hindu,2015,10
tiruppur,hindu,M,islam,2015,10
chennai,christian,F,hindu,2015,10
chennai,hindu,F,islam,2015,10
vellore,hindu,F,christian,2015,10
chennai,hindu,M,christian,2015,10
tirunelveli,islam,M,hindu,2015,10
tirunelveli,christian,M,hindu,2015,10
tirunelveli,hindu,M,christian,2015,10
chennai,christian,F,hindu,2015,10
dindigul,hindu,M,christian,2015,10
kancheepuram,hindu,F,islam,2015,10
kancheepuram,christian,F,islam,2015,10
kancheepuram,hindu,M,christian,2015,10
chennai,hindu,F,islam,2015,10
chennai,hindu,M,islam,2015,10
chennai,hindu,M,islam,2015,10
cuddalore,hindu,F,islam,2015,10
dharmapuri,islam,M,hindu,2015,10
chennai,islam,M,christian,2015,10
kanyakumari,christian,F,islam,2015,10
tiruchirappalli,hindu,F,islam,2015,10
dindigul,hindu,F,christian,2015,10
karur,hindu,M,christian,2015,10
salem,hindu,M,christian,2015,10
karur,hindu,M,islam,2015,10
chennai,hindu,F,islam,2015,10
thoothukkudi,hindu,M,christian,2015,10
thoothukkudi,hindu,F,christian,2015,10
namakkal,hindu,M,islam,2015,10
chennai,hindu,F,islam,2015,10
tiruchirappalli,hindu,F,islam,2015,10
chennai,hindu,F,christian,2015,10
tiruvallur,hindu,F,christian,2015,10
kancheepuram,hindu,F,islam,2015,10
tiruvallur,hindu,M,christian,2015,10
chennai,hindu,F,christian,2015,10
anatapurandhra pradesh,hindu,M,christian,2015,10
vellore,hindu,M,christian,2015,10
chennai,hindu,F,christian,2015,10
kancheepuram,hindu,M,christian,2015,10
tirunelveli,christian,M,hindu,2015,10
tiruvallur,hindu,M,islam,2015,10
thiruvannamalai,hindu,F,islam,2015,10
erode,hindu,M,christian,2015,10
coimbatore,hindu,F,christian,2015,10
tiruppur,hindu,M,christian,2015,10
tiruppur,hindu,F,christian,2015,10
erode,hindu,M,islam,2015,10
tirunelveli,UNK,M,UNK,2015,10
chennai,hindu,M,islam,2015,10
chennai,hindu,M,christian,2015,10
chennai,hindu,M,islam,2015,10
tiruppur,hindu,F,christian,2015,10
tiruppur,hindu,M,christian,2015,10
tiruppur,hindu,F,christian,2015,10
tiruppur,hindu,F,christian,2015,10
tiruppur,hindu,F,christian,2015,10
chennai,christian,F,hindu,2015,10
chennai,hindu,F,islam,2015,10
cuddalore,islam,F,hindu,2015,10
chennai,christian,F,hindu,2015,10
tiruvallur,islam,M,hindu,2015,10
tiruchirappalli,christian,F,hindu,2015,10
chennai,islam,M,hindu,2015,10
kancheepuram,christian,F,hindu,2015,10
tiruvallur,islam,F,hindu,2015,10
kancheepuram,christian,F,hindu,2015,10
chennai,christian,M,hindu,2015,10
cuddalore,islam,F,hindu,2015,10
sivagangai,hindu,F,islam,2015,10
thiruvannamalai,hindu,M,christian,2015,10
chennai,hindu,M,christian,2015,10
kancheepuram,hindu,F,islam,2015,10
chennai,islam,F,hindu,2015,10
kancheepuram,hindu,M,islam,2015,10
virudhunagar,hindu,M,christian,2015,10
tirunelveli,hindu,M,islam,2015,10
kanyakumari,christian,F,islam,2015,10
chennai,christian,M,hindu,2015,10
cuddalore,hindu,M,christian,2015,10
tirunelveli,hindu,M,christian,2015,10
chennai,hindu,M,islam,2015,10
chennai,islam,M,hindu,2015,10
erode,hindu,F,islam,2015,10
chennai,hindu,M,christian,2015,10
chennai,hindu,M,christian,2015,10
vellore,hindu,M,islam,2015,10
pudukkottai,hindu,F,islam,2015,10
thoothukkudi,hindu,M,christian,2015,10
kancheepuram,hindu,M,islam,2015,10
chennai,hindu,F,christian,2015,10
kancheepuram,hindu,F,islam,2015,10
kancheepuram,hindu,F,islam,2015,10
chennai,hindu,F,islam,2015,10
chennai,islam,F,christian,2015,10
chennai,hindu,F,islam,2015,10
salem,hindu,M,christian,2015,10
tirunelveli,hindu,F,christian,2015,10
salem,hindu,F,christian,2015,10
madurai,islam,M,hindu,2015,51
theni,hindu,M,islam,2015,51
coimbatore,hindu,M,islam,2015,51
tirunelveli,hindu,M,islam,2015,51
villupuram,hindu,F,christian,2015,51
tiruchirappalli,christian,M,islam,2015,51
tiruchirappalli,hindu,F,christian,2015,51
tiruchirappalli,hindu,M,christian,2015,51
tiruchirappalli,islam,F,hindu,2015,51
kanyakumari,hindu,M,christian,2015,51
coimbatore,hindu,F,christian,2015,51
thanjavur,hindu,M,christian,2015,51
salem,hindu,M,islam,2015,51
tiruvallur,hindu,M,islam,2015,51
tiruvarur,hindu,M,christian,2015,51
tirunelveli,christian,M,hindu,2015,51
tirunelveli,hindu,F,christian,2015,51
tiruppur,christian,F,hindu,2015,51
ramanathapuram,hindu,M,islam,2015,51
the nilgiris,christian,F,islam,2015,51
coimbatore,islam,F,hindu,2015,51
coimbatore,islam,F,christian,2015,51
chennai,hindu,M,islam,2015,51
chennai,hindu,M,christian,2015,51
virudhunagar,hindu,M,islam,2015,51
chennai,christian,F,islam,2015,51
dharmapuri,hindu,M,christian,2015,51
tiruchirappalli,hindu,M,islam,2015,51
tiruvallur,hindu,M,christian,2015,51
kancheepuram,hindu,F,christian,2015,51
thiruvannamalai,hindu,F,islam,2015,51
chennai,islam,M,hindu,2015,51
thiruvannamalai,hindu,M,christian,2015,51
coimbatore,hindu,M,islam,2015,51
thiruvannamalai,hindu,M,islam,2015,51
coimbatore,hindu,F,islam,2015,51
thanjavur,hindu,F,islam,2015,51
tirunelveli,islam,M,hindu,2015,51
tirunelveli,islam,M,hindu,2015,51
madurai,hindu,F,islam,2015,51
tiruppur,hindu,M,christian,2015,51
erode,hindu,M,christian,2015,51
erode,hindu,M,christian,2015,51
thiruvannamalai,christian,M,hindu,2015,51
erode,hindu,M,christian,2015,51
chennai,hindu,F,christian,2015,51
kancheepuram,hindu,F,islam,2015,51
ariyalur,hindu,M,islam,2015,51
thanjavur,hindu,F,islam,2015,51
chennai,hindu,M,christian,2015,51
thiruvannamalai,hindu,M,islam,2015,51
kanyakumari,hindu,F,islam,2015,51
thoothukkudi,christian,M,hindu,2015,51
thanjavur,christian,F,hindu,2015,51
cuddalore,hindu,F,islam,2015,51
kanyakumari,hindu,M,christian,2015,51
thoothukkudi,hindu,M,christian,2015,51
chennai,hindu,F,islam,2015,51
chennai,hindu,M,islam,2015,51
chennai,hindu,M,islam,2015,51
madurai,hindu,F,islam,2015,19
madurai,hindu,F,islam,2015,19
madurai,hindu,F,islam,2015,19
madurai,hindu,M,islam,2015,19
madurai,hindu,F,islam,2015,19
sivagangai,islam,M,hindu,2015,19
dindigul,hindu,F,islam,2015,19
dindigul,hindu,M,islam,2015,19
dindigul,hindu,M,islam,2015,19
thanjavur,hindu,F,islam,2015,19
theni,hindu,M,islam,2015,19
coimbatore,hindu,M,christian,2015,19
madurai,hindu,F,islam,2015,19
ramanathapuram,hindu,F,islam,2015,19
madurai,hindu,M,islam,2015,19
theni,hindu,F,islam,2015,19
madurai,hindu,F,islam,2015,19
virudhunagar,hindu,M,islam,2015,19
thanjavur,christian,F,hindu,2015,19
thanjavur,christian,M,hindu,2015,19
thanjavur,christian,F,hindu,2015,19
chennai,islam,M,hindu,2015,19
thanjavur,christian,F,hindu,2015,19
vellore,islam,F,hindu,2015,19
thanjavur,christian,F,hindu,2015,19
thanjavur,christian,M,hindu,2015,19
thanjavur,christian,M,hindu,2015,19
karur,hindu,F,islam,2015,19
tirunelveli,hindu,F,christian,2015,19
tirunelveli,hindu,M,christian,2015,19
tiruchirappalli,islam,M,hindu,2015,19
chennai,christian,F,hindu,2015,19
perambalur,hindu,M,islam,2015,19
chennai,christian,M,hindu,2015,19
chennai,christian,M,hindu,2015,19
bombay-maharastra,christian,F,hindu,2015,19
chennai,hindu,F,islam,2015,19
chennai,islam,F,hindu,2015,19
nagapattinam,hindu,F,islam,2015,19
chennai,hindu,F,islam,2015,19
chennai,hindu,F,islam,2015,19
chennai,hindu,F,islam,2015,19
pondicherry,hindu,F,islam,2015,19
dindigul,hindu,F,islam,2015,19
bhadrak-orissa,hindu,M,islam,2015,19
kanyakumari,hindu,F,islam,2015,19
chennai,hindu,F,islam,2015,19
chennai,hindu,F,islam,2015,19
chennai,hindu,M,islam,2015,19
vellore,hindu,F,islam,2015,19
chennai,christian,M,hindu,2015,19
pondicherry,hindu,F,christian,2015,19
cuddalore,hindu,F,islam,2015,19
kancheepuram,hindu,F,islam,2015,19
chennai,hindu,M,christian,2015,19
chennai,hindu,M,christian,2015,19
tiruvallur,hindu,M,islam,2015,19
chennai,islam,M,hindu,2015,19
villupuram,hindu,F,christian,2015,19
chennai,hindu,M,christian,2015,19
chennai,hindu,M,christian,2015,19
cuddalore,hindu,M,islam,2015,19
vellore,hindu,F,christian,2015,19
tirunelveli,hindu,M,islam,2015,19
chennai,hindu,M,islam,2015,19
coimbatore,hindu,M,islam,2015,19
coimbatore,hindu,F,islam,2015,19
virudhunagar,UNK,F,UNK,2015,19
virudhunagar,hindu,M,christian,2015,19
kancheepuram,hindu,M,islam,2015,19
vellore,hindu,M,islam,2015,19
chennai,hindu,F,islam,2015,19
kancheepuram,hindu,F,islam,2015,19
chennai,hindu,F,islam,2015,19
namakkal,islam,F,hindu,2015,19
chennai,hindu,F,christian,2015,19
chennai,hindu,F,christian,2015,19
virudhunagar,hindu,M,christian,2015,19
thiruvannamalai,christian,F,islam,2015,19
virudhunagar,hindu,M,christian,2015,19
kancheepuram,hindu,M,christian,2015,19
chennai,hindu,M,islam,2015,19
ramanathapuram,hindu,M,islam,2015,19
chennai,hindu,F,christian,2015,19
chennai,christian,F,islam,2015,19
kanyakumari,hindu,M,islam,2015,19
chennai,islam,F,hindu,2015,19
cuddalore,islam,F,hindu,2015,19
vellore,hindu,M,islam,2015,19
chennai,UNK,F,UNK,2015,19
virudhunagar,hindu,M,christian,2015,19
tiruppur,hindu,F,islam,2015,19
tiruvallur,christian,M,hindu,2015,19
tiruppur,hindu,F,islam,2015,19
chennai,hindu,M,christian,2015,19
chennai,hindu,F,islam,2015,19
kancheepuram,christian,M,hindu,2015,19
sivagangai,hindu,M,christian,2015,19
chennai,hindu,M,christian,2015,19
erode,hindu,M,christian,2015,19
virudhunagar,hindu,F,christian,2015,19
west godawary-andhra pradesh,hindu,M,christian,2015,19
vellore,hindu,M,christian,2015,19
ramanathapuram,hindu,M,islam,2015,5
ramanathapuram,hindu,M,islam,2015,5
idukki-kerala,hindu,M,christian,2015,5
tirunelveli,hindu,M,christian,2015,5
coimbatore,hindu,M,islam,2015,5
coimbatore,hindu,F,islam,2015,5
cuddalore,hindu,M,islam,2015,5
dindigul,christian,M,islam,2015,5
madurai,hindu,M,islam,2015,5
tirunelveli,hindu,F,christian,2015,5
madurai,hindu,M,islam,2015,5
namakkal,hindu,F,christian,2015,5
namakkal,hindu,M,christian,2015,5
namakkal,hindu,F,christian,2015,5
ariyalur,hindu,M,islam,2015,5
thanjavur,hindu,F,islam,2015,5
madurai,hindu,F,islam,2015,5
virudhunagar,hindu,M,christian,2015,5
virudhunagar,hindu,F,christian,2015,5
kancheepuram,hindu,M,islam,2015,5
tirunelveli,hindu,F,islam,2015,5
chennai,hindu,F,christian,2015,5
chennai,hindu,F,christian,2015,5
chennai,hindu,F,christian,2015,5
baclieuvietnam,UNK,F,UNK,2015,5
chennai,hindu,M,islam,2015,5
chennai,islam,F,hindu,2015,5
erode,hindu,M,christian,2015,5
chennai,islam,M,hindu,2015,5
coimbatore,christian,F,islam,2015,5
thiruvannamalai,hindu,F,islam,2015,5
chennai,hindu,M,islam,2015,5
kancheepuram,hindu,M,islam,2015,5
virudhunagar,hindu,F,christian,2015,5
madurai,hindu,F,christian,2015,5
tirunelveli,christian,F,hindu,2015,5
tiruppur,hindu,F,islam,2015,5
coimbatore,hindu,M,islam,2015,5
coimbatore,hindu,M,christian,2015,5
dindigul,hindu,M,christian,2015,5
erode,hindu,F,christian,2015,5
virudhunagar,hindu,M,islam,2015,5
karur,hindu,F,islam,2015,5
perumbalur,hindu,M,islam,2015,5
thoothukkudi,hindu,M,christian,2015,5
chennai,hindu,F,islam,2015,5
vellore,hindu,M,christian,2015,5
chennai,hindu,F,islam,2015,5
ariyalur,hindu,M,islam,2015,5
tirunelveli,christian,M,hindu,2015,5
chennai,hindu,F,christian,2015,5
thiruvannamalai,hindu,M,christian,2015,5
chennai,hindu,M,islam,2015,5
kancheepuram,hindu,F,islam,2015,5
chennai,hindu,M,christian,2015,5
virudhunagar,hindu,F,christian,2015,5
kanyakumari,hindu,M,christian,2015,5
chennai,christian,M,christian,2015,5
chennai,christian,M,islam,2015,5
vellore,hindu,F,christian,2015,5
chennai,hindu,M,christian,2015,5
tiruvallur,hindu,M,christian,2015,5
vellore,hindu,M,islam,2015,5
chennai,christian,F,islam,2015,5
chennai,christian,F,islam,2015,5
chennai,hindu,F,islam,2015,5
ramanathapuram,hindu,M,islam,2015,5
chennai,hindu,M,christian,2015,5
ernakulam-kerala,islam,F,christian,2015,5
ramanathapuram,hindu,F,islam,2015,5
chennai,UNK,F,UNK,2015,5
kanyakumari,hindu,F,islam,2015,5
chennai,hindu,F,islam,2015,5
dindigul,islam,F,hindu,2015,5
tiruvannamalai,hindu,M,christian,2015,5
villupuram,hindu,M,islam,2015,5
tiruppur,hindu,M,islam,2015,7
madurai,hindu,F,christian,2015,7
ramanathapuram,hindu,M,islam,2015,7
kanyakumari,christian,M,islam,2015,7
madurai,hindu,F,islam,2015,7
dindigul,hindu,M,christian,2015,7
dindigul,hindu,M,islam,2015,7
ramanathapuram,hindu,M,islam,2015,7
tirunelveli,christian,F,christian,2015,7
pudukkottai,islam,F,hindu,2015,7
thoothukkudi,UNK,M,UNK,2015,7
tiruchirappalli,hindu,M,islam,2015,7
salem,hindu,F,christian,2015,7
tiruvarur,hindu,M,islam,2015,7
erode,hindu,M,islam,2015,7
ramanathapuram,hindu,M,islam,2015,7
chennai,hindu,M,christian,2015,7
theni,christian,M,hindu,2015,7
kanyakumari,hindu,M,christian,2015,7
vellore,hindu,M,christian,2015,7
chennai,hindu,F,christian,2015,7
villupuram,hindu,M,christian,2015,7
vellore,hindu,M,islam,2015,7
tirunelveli,hindu,F,christian,2015,7
kanyakumari,hindu,M,christian,2015,7
idukki-kerala,hindu,M,christian,2015,7
krishnagiri,hindu,M,islam,2015,7
villupuram,hindu,F,islam,2015,7
vellore,hindu,M,christian,2015,7
kancheepuram,hindu,F,christian,2015,7
chennai,hindu,M,christian,2015,7
chennai,hindu,F,christian,2015,7
thiruvannamalai,hindu,M,christian,2015,7
chennai,hindu,M,christian,2015,7
kancheepuram,hindu,M,christian,2015,7
tiruchirappalli,hindu,M,islam,2015,7
thanjavur,christian,F,hindu,2015,7
tiruchirappalli,hindu,M,islam,2015,7
thanjavur,UNK,M,UNK,2015,7
nagapattinam,hindu,M,islam,2015,7
tirunelveli,hindu,M,christian,2015,7
tiruvarur,islam,F,hindu,2015,7
ramanathapuram,hindu,M,islam,2015,7
krishnagiri,hindu,F,islam,2015,7
tiruvallur,hindu,M,islam,2015,7
thanjavur,hindu,F,islam,2015,7
tiruvallur,hindu,M,islam,2015,7
thanjavur,hindu,F,islam,2015,7
chennai,hindu,F,islam,2015,7
thanjavur,hindu,M,islam,2015,7
nellore-andhrapradesh,hindu,M,islam,2015,7
chennai,hindu,M,islam,2015,7
chennai,hindu,F,islam,2015,7
chennai,hindu,F,islam,2015,7
vellore,hindu,M,islam,2015,7
tiruppur,hindu,M,christian,2015,7
chennai,hindu,F,islam,2015,7
tiruppur,hindu,M,christian,2015,7
tiruppur,hindu,F,christian,2015,7
cuddalore,hindu,M,islam,2015,7
chennai,hindu,M,islam,2015,7
chennai,hindu,M,islam,2015,7
chennai,hindu,M,islam,2015,7
chennai,islam,M,christian,2015,7
chennai,islam,M,christian,2015,7
chennai,islam,F,hindu,2015,7
vellore,hindu,F,islam,2015,7
tiruvallur,hindu,F,christian,2015,7
chennai,hindu,F,islam,2015,7
salem,hindu,M,christian,2015,7
ramanathapuram,hindu,M,islam,2015,7
chennai,hindu,M,christian,2015,7
vellore,hindu,F,christian,2015,7
vellore,hindu,F,islam,2015,7
coimbatore,hindu,F,islam,2015,7
vellore,hindu,M,christian,2015,7
villupuram,hindu,M,christian,2015,7
thiruvarur,hindu,F,christian,2015,7
thiruvarur,hindu,M,christian,2015,7
coimbatore,hindu,F,christian,2015,7
the nilgiris,hindu,M,islam,2015,7
karur,hindu,F,islam,2015,7
chennai,hindu,F,islam,2015,7
chennai,hindu,M,islam,2015,7
ramanathapuram,christian,F,hindu,2015,7
namakkal,hindu,M,christian,2015,7
chennai,hindu,M,christian,2015,7
thoothukkudi,hindu,F,christian,2015,7
chennai,hindu,F,islam,2015,7
chennai,hindu,M,islam,2015,7
virudhunagar,hindu,M,christian,2015,7
chennai,hindu,M,islam,2015,7
thanjavur,hindu,F,islam,2015,7
coimbatore,hindu,M,islam,2015,7
cuddalore,hindu,M,islam,2015,7
nagapattinam,hindu,M,islam,2015,7
chennai,hindu,F,islam,2015,7
kanyakumari,hindu,F,islam,2015,7
chennai,hindu,M,islam,2015,7
nagapattinam,hindu,F,islam,2015,7
vellore,hindu,M,christian,2015,7
chennai,hindu,F,islam,2015,7
chennai,hindu,F,christian,2015,7
chennai,hindu,M,islam,2015,7
tiruppur,hindu,F,christian,2015,7
chennai,hindu,F,islam,2015,7
tirunelveli,hindu,M,christian,2015,7
salem,hindu,F,christian,2015,7
tiruchirappalli,hindu,M,islam,2015,7
salem,hindu,M,christian,2015,7
tiruchirappalli,hindu,M,islam,2015,7
kancheepuram,islam,F,christian,2015,7
kancheepuram,hindu,M,christian,2015,7
tiruchirappalli,hindu,M,islam,2015,7
chennai,UNK,M,UNK,2015,7
chennai,islam,F,hindu,2015,7
tirunelveli,islam,F,christian,2015,7
chennai,hindu,M,christian,2015,7
tiruchirappalli,hindu,M,christian,2015,7
chennai,hindu,M,islam,2015,7
chennai,hindu,F,christian,2015,7
pondicherry,hindu,F,christian,2015,7
madurai,hindu,M,islam,2015,7
coimbatore,hindu,F,islam,2015,7
coimbatore,hindu,F,islam,2015,7
theni,hindu,F,islam,2015,16
theni,hindu,M,islam,2015,16
virudhunagar,hindu,F,islam,2015,16
virudhunagar,hindu,F,islam,2015,16
thanjavur,hindu,M,islam,2015,16
madurai,hindu,M,islam,2015,16
madurai,hindu,M,islam,2015,16
ramanathapuram,hindu,M,islam,2015,16
madurai,hindu,F,islam,2015,16
dindigul,hindu,M,islam,2015,16
dharmapuri,hindu,F,islam,2015,16
theni,hindu,M,islam,2015,16
tirunelveli,hindu,F,islam,2015,16
tirunelveli,hindu,M,islam,2015,16
theni,hindu,F,islam,2015,16
madurai,hindu,M,islam,2015,16
madurai,hindu,F,christian,2015,16
madurai,hindu,F,christian,2015,16
coimbatore,hindu,F,islam,2015,16
namakkal,hindu,F,islam,2015,16
coimbatore,christian,F,islam,2015,16
coimbatore,hindu,M,islam,2015,16
coimbatore,hindu,M,islam,2015,16
tirunelveli,hindu,M,islam,2015,16
theni,islam,F,hindu,2015,16
ramanathapuram,hindu,F,islam,2015,16
thanjavur,christian,M,hindu,2015,16
thanjavur,christian,M,hindu,2015,16
tiruchirappalli,hindu,M,christian,2015,16
thoothukkudi,christian,F,hindu,2015,16
namakkal,christian,M,hindu,2015,16
thiruvarur,hindu,M,islam,2015,16
tiruppur,islam,F,hindu,2015,16
tirunelveli,hindu,M,christian,2015,16
thanjavur,christian,M,islam,2015,16
erode,hindu,M,islam,2015,16
thanjavur,hindu,M,islam,2015,16
nagapattinam,hindu,F,islam,2015,16
tiruvallur,hindu,F,islam,2015,16
kolar-karnataka,hindu,F,islam,2015,16
kancheepuram,hindu,M,christian,2015,16
villupuram,hindu,F,christian,2015,16
chennai,hindu,F,islam,2015,16
cuddalore,hindu,M,islam,2015,16
chennai,hindu,F,islam,2015,16
chennai,hindu,M,christian,2015,16
alipurduar-west bengal,hindu,M,christian,2015,16
coimbatore,hindu,M,christian,2015,16
chennai,hindu,F,islam,2015,16
ariyalur,hindu,F,islam,2015,16
chennai,christian,F,hindu,2015,16
ramanathapuram,hindu,F,islam,2015,16
thanjavur,hindu,M,islam,2015,16
thanjavur,hindu,F,islam,2015,16
vellore,hindu,F,christian,2015,16
madurai,christian,M,hindu,2015,16
villupuram,hindu,F,christian,2015,16
tiruvallur,hindu,M,islam,2015,16
villupuram,hindu,M,christian,2015,16
kancheepuram,christian,F,hindu,2015,16
chennai,hindu,F,islam,2015,16
madurai,hindu,M,islam,2015,16
chennai,hindu,M,islam,2015,16
tirunelveli,hindu,M,islam,2015,16
vellore,hindu,M,christian,2015,16
coimbatore,hindu,M,christian,2015,16
salem,hindu,F,christian,2015,16
salem,hindu,M,christian,2015,16
kanyakumari,hindu,F,islam,2015,16
tirunelveli,hindu,M,christian,2015,16
chennai,christian,F,islam,2015,16
tiruvallur,hindu,F,islam,2015,16
tiruppur,christian,M,hindu,2015,16
kancheepuram,hindu,F,islam,2015,16
nagapattinam,hindu,M,islam,2015,16
eranakulam-kerala,islam,F,hindu,2015,16
vellore,christian,F,islam,2015,16
