district,from,gender,to,year,week
chennai,hindu,F,islam,2017,22
tirunelveli,hindu,M,christian,2017,22
chennai,hindu,F,islam,2017,22
pondichery,hindu,F,islam,2017,22
villupuram,hindu,M,islam,2017,22
chennai,hindu,M,christian,2017,22
vellore,hindu,M,christian,2017,22
chennai,hindu,M,christian,2017,22
tirunelveli,hindu,M,islam,2017,22
tiruvallur,hindu,F,islam,2017,22
chennai,hindu,M,christian,2017,22
erode,hindu,M,islam,2017,22
vellore,hindu,M,christian,2017,22
virudhunagar,hindu,F,christian,2017,22
chennai,hindu,F,christian,2017,22
chennai,hindu,F,islam,2017,22
chennai,hindu,F,islam,2017,22
tirunelveli,hindu,M,christian,2017,22
coimbatore,hindu,M,islam,2017,22
erode,hindu,F,islam,2017,22
tiruvarur,hindu,M,christian,2017,22
tirunelveli,hindu,M,christian,2017,22
vellore,hindu,M,islam,2017,22
vellore,hindu,F,christian,2017,22
vellore,hindu,F,islam,2017,22
chennai,christian,M,islam,2017,22
dharmapuri,hindu,F,christian,2017,22
chennai,hindu,F,islam,2017,22
chennai,hindu,F,islam,2017,22
dharmapuri,hindu,M,islam,2017,22
namakkal,hindu,F,islam,2017,22
chennai,hindu,M,islam,2017,22
tirunelveli,hindu,M,islam,2017,22
coimbatore,hindu,F,islam,2017,22
madurai,hindu,M,islam,2017,22
virudhunagar,hindu,F,islam,2017,22
sivagangai,hindu,F,islam,2017,22
chennai,christian,M,islam,2017,22
karur,hindu,M,christian,2017,22
ramanathapuram,christian,F,hindu,2017,22
chennai,hindu,F,islam,2017,22
tiruvallur,hindu,M,christian,2017,22
kancheepuram,hindu,F,christian,2017,22
tirunelveli,christian,F,islam,2017,22
theni,hindu,F,islam,2017,22
kanyakumari,hindu,M,christian,2017,22
coimbatore,hindu,F,islam,2017,22
virudhunagar,hindu,M,christian,2017,22
sivagangai,UNK,M,UNK,2017,22
erode,hindu,F,christian,2017,22
tirunelveli,hindu,M,islam,2017,22
chennai,hindu,F,christian,2017,22
dindigul,hindu,M,islam,2017,22
palakkad-kerala,hindu,M,islam,2017,22
tiruchirappalli,christian,M,hindu,2017,38
ariyalur,islam,M,hindu,2017,38
madurai,islam,F,hindu,2017,38
theni,hindu,F,islam,2017,38
madurai,hindu,F,christian,2017,38
tiruchirappalli,christian,F,hindu,2017,38
tiruchirappalli,christian,F,hindu,2017,38
tiruvallur,hindu,F,christian,2017,38
tirunelveli,hindu,M,christian,2017,38
nagapattinam,hindu,F,islam,2017,38
karur,hindu,F,islam,2017,38
coimbatore,hindu,M,christian,2017,38
coimbatore,hindu,F,christian,2017,38
virudhunagar,hindu,M,christian,2017,38
kanyakumari,hindu,M,christian,2017,38
tirunelveli,hindu,M,islam,2017,38
nagapattinam,hindu,F,christian,2017,38
coimbatore,hindu,M,christian,2017,38
tiruvallur,hindu,F,islam,2017,38
thiruvannamalai,hindu,M,islam,2017,38
chennai,hindu,F,christian,2017,38
tiruppur,hindu,M,islam,2017,38
thanjavur,hindu,M,christian,2017,38
chennai,islam,F,christian,2017,38
nagapattinam,hindu,M,islam,2017,38
vellore,christian,M,hindu,2017,38
sivagangai,hindu,M,islam,2017,38
chennai,hindu,M,islam,2017,38
tiruvallur,christian,M,hindu,2017,38
chennai,hindu,F,islam,2017,38
chennai,hindu,M,islam,2017,38
thiruvarur,hindu,M,islam,2017,38
chennai,hindu,M,islam,2017,38
virudhunagar,hindu,F,islam,2017,38
tirunelveli,hindu,M,christian,2017,38
kancheepuram,hindu,F,islam,2017,38
chennai,hindu,M,christian,2017,38
krishna–andhra pradesh,hindu,F,islam,2017,38
virudhunagar,hindu,F,islam,2017,38
madurai,christian,F,hindu,2017,38
chennai,hindu,F,islam,2017,38
tiruvallur,christian,F,hindu,2017,38
chennai,hindu,M,christian,2017,38
bangalore-karnataka,hindu,F,islam,2017,38
chennai,hindu,F,islam,2017,38
vellore,hindu,M,islam,2017,38
thane-maharashtra,hindu,F,christian,2017,38
kancheepruam,hindu,F,islam,2017,38
nagapattinam,hindu,M,islam,2017,38
thiruvannamalai,hindu,F,islam,2017,38
chennai,hindu,M,christian,2017,38
chennai,hindu,F,christian,2017,38
chennai,hindu,M,islam,2017,38
tirunelveli,hindu,F,christian,2017,38
chennai,hindu,M,christian,2017,38
karur,hindu,M,islam,2017,38
chennai,hindu,F,islam,2017,38
dindigul,hindu,M,christian,2017,38
coimbatore,hindu,F,islam,2017,38
coimbatore,hindu,M,islam,2017,38
tirunelveli,hindu,F,islam,2017,38
madurai,hindu,M,islam,2017,26
dindigul,hindu,F,islam,2017,26
tirunelveli,hindu,F,islam,2017,26
tirunelveli,hindu,F,islam,2017,26
tirunelveli,hindu,F,christian,2017,26
tirunelveli,hindu,M,christian,2017,26
sivaganai,hindu,M,islam,2017,26
thoothukkudi,christian,F,hindu,2017,26
theni,hindu,M,islam,2017,26
thoothukkudi,christian,F,hindu,2017,26
virudhunagar,hindu,F,islam,2017,26
thoothukkudi,christian,F,hindu,2017,26
virudhunagar,hindu,M,islam,2017,26
thoothukkudi,hindu,F,christian,2017,26
tirunelveli,hindu,M,islam,2017,26
madurai,hindu,F,christian,2017,26
theni,hindu,F,islam,2017,26
thanjavur,hindu,F,islam,2017,26
tiruppur,hindu,M,islam,2017,26
thanjavur,hindu,M,islam,2017,26
virudhunagar,christian,M,hindu,2017,26
tirunelveli,UNK,F,UNK,2017,26
nagapattinam,christian,F,islam,2017,26
tirunelveli,UNK,F,UNK,2017,26
ramanathapuram,christian,M,hindu,2017,26
tirunelveli,UNK,F,UNK,2017,26
ramanathapuram,christian,M,hindu,2017,26
tiruppur,islam,F,hindu,2017,26
tiruchirappalli,hindu,F,islam,2017,26
tiruvallur,christian,F,hindu,2017,26
cuddalore,hindu,M,islam,2017,26
chennai,hindu,M,islam,2017,26
ramanathapuram,christian,M,hindu,2017,26
cuddalore,hindu,M,islam,2017,26
bangalorekarnataka,hindu,F,islam,2017,26
chennai,hindu,F,christian,2017,26
chennai,hindu,F,islam,2017,26
tiruchirappalli,hindu,F,islam,2017,26
namakkal,hindu,M,christian,2017,26
chennai,christian,F,hindu,2017,26
madurai,islam,F,hindu,2017,26
kancheepuram,hindu,M,christian,2017,26
thenilgiris,hindu,M,islam,2017,26
chennai,christian,F,hindu,2017,26
chennai,christian,F,islam,2017,26
chennai,hindu,M,islam,2017,26
tirunelveli,hindu,M,christian,2017,26
tiruvarur,islam,F,hindu,2017,26
cuddalore,hindu,M,islam,2017,26
kancheepuram,hindu,M,christian,2017,26
tiruvallur,hindu,M,islam,2017,26
machilipatnamandhra pradesh,hindu,F,christian,2017,26
kancheepuram,hindu,F,christian,2017,26
coimbatore,hindu,M,christian,2017,26
nagapattinam,hindu,M,christian,2017,26
kancheepuram,hindu,M,christian,2017,26
chennai,hindu,M,islam,2017,26
chennai,hindu,M,islam,2017,26
tirunelveli,hindu,F,christian,2017,26
chennai,hindu,F,islam,2017,26
thoothukkudi,christian,F,hindu,2017,26
chennai,hindu,M,islam,2017,26
chennai,hindu,F,islam,2017,26
chennai,hindu,M,islam,2017,26
chennai,hindu,M,islam,2017,26
thenilgiris,hindu,F,christian,2017,26
ramanathapuram,hindu,F,islam,2017,26
salem,hindu,M,christian,2017,26
coimbatore,hindu,M,christian,2017,26
chennai,hindu,F,christian,2017,26
tiruchirappalli,islam,F,hindu,2017,26
chennai,christian,F,hindu,2017,26
kancheepuram,islam,M,hindu,2017,26
tirunelveli,christian,M,islam,2017,26
kanyakumari,hindu,M,christian,2017,26
dindigul,hindu,M,christian,2017,11
madurai,hindu,M,christian,2017,11
thoothukkudi,hindu,M,islam,2017,11
tirunelveli,hindu,M,islam,2017,11
dindigul,hindu,M,islam,2017,11
tirunelveli,hindu,F,islam,2017,11
pudukkottai,christian,F,islam,2017,11
coimbatore,hindu,F,christian,2017,11
tiruchirappalli,christian,F,islam,2017,11
tiruchirappalli,hindu,F,christian,2017,11
chennai,hindu,M,christian,2017,11
villupuram,hindu,M,christian,2017,11
erode,hindu,M,christian,2017,11
chennai,hindu,F,islam,2017,11
pondicherry,hindu,F,christian,2017,11
chennai,hindu,M,christian,2017,11
chennai,hindu,F,islam,2017,11
chennai,christian,M,hindu,2017,11
chennai,hindu,M,islam,2017,11
kancheepuram,hindu,F,islam,2017,11
vellore,hindu,M,christian,2017,11
chennai,christian,F,hindu,2017,11
tiruvallur,hindu,F,christian,2017,11
thanjavur,hindu,M,islam,2017,11
thanjavur,hindu,F,islam,2017,11
virudhunagar,hindu,M,islam,2017,11
chennai,christian,M,hindu,2017,11
chennai,christian,F,hindu,2017,11
kancheepuram,christian,M,islam,2017,11
kancheepuram,hindu,M,christian,2017,11
idukkikerala,hindu,F,christian,2017,11
chennai,hindu,F,islam,2017,11
dindigul,hindu,M,islam,2017,11
tirunelveli,hindu,M,christian,2017,11
salem,hindu,M,christian,2017,11
tirunelveli,hindu,F,christian,2017,11
salem,hindu,F,christian,2017,11
tirunelveli,hindu,M,christian,2017,11
salem,hindu,M,christian,2017,11
tirunelveli,hindu,M,christian,2017,11
chennai,hindu,F,christian,2017,11
thanjavur,christian,F,hindu,2017,11
tirunelveli,hindu,M,christian,2017,11
chennai,hindu,M,christian,2017,11
namakkal,hindu,M,christian,2017,11
chennai,hindu,F,islam,2017,11
thanjavur,christian,M,hindu,2017,11
chennai,christian,M,islam,2017,11
villupuram,hindu,M,islam,2017,11
chennai,christian,M,islam,2017,11
vellore,hindu,M,christian,2017,11
chennai,hindu,F,islam,2017,11
tirunelveli,hindu,F,islam,2017,11
chennai,christian,F,hindu,2017,11
dharmapuri,hindu,F,islam,2017,11
dindigul,islam,F,hindu,2017,11
tiruvallur,islam,F,hindu,2017,11
madurai,hindu,M,islam,2017,11
pudukkottai,hindu,M,christian,2017,11
chennai,hindu,F,islam,2017,11
tirunelveli,hindu,F,christian,2017,11
coimbatore,hindu,M,christian,2017,11
tirunelveli,hindu,M,islam,2017,11
kanyakumari,hindu,M,islam,2017,11
kanyakumari,hindu,F,islam,2017,11
kanyakumari,hindu,F,islam,2017,11
thiruvannamalai,hindu,M,islam,2017,11
tiruvallur,hindu,F,islam,2017,11
chennai,hindu,M,christian,2017,11
chennai,hindu,F,christian,2017,11
darjeelingwest bengal,christian,F,islam,2017,11
coimbatore,christian,M,hindu,2017,11
thoothukkudi,hindu,M,islam,2017,11
virudhunagar,UNK,M,UNK,2017,11
thoothukkudi,hindu,M,christian,2017,11
tirunelveli,hindu,M,christian,2017,11
tirunelveli,christian,F,hindu,2017,11
thoothukkudi,hindu,M,christian,2017,11
coimbatore,hindu,M,christian,2017,11
tiruppur,hindu,M,islam,2017,11
kanyakumari,hindu,F,islam,2017,11
cuddalore,hindu,F,islam,2017,11
tiruchirappalli,christian,F,hindu,2017,11
erode,hindu,M,islam,2017,11
virudhunagar,UNK,M,UNK,2017,11
sivagangai,hindu,M,christian,2017,11
theni,hindu,M,islam,2017,12
tirunelveli,hindu,F,islam,2017,12
virudhunagar,christian,M,islam,2017,12
ramanathapuram,hindu,M,islam,2017,12
dindigul,hindu,F,islam,2017,12
tiruchirappalli,islam,F,christian,2017,12
nagapattinam,hindu,F,christian,2017,12
UNK,hindu,F,islam,2017,12
coimbatore,christian,M,islam,2017,12
salem,hindu,F,christian,2017,12
thoothukkudi,hindu,M,christian,2017,12
chennai,hindu,M,islam,2017,12
virudhunagar,islam,F,hindu,2017,12
cuddalore,islam,F,hindu,2017,12
kancheepuram,christian,F,hindu,2017,12
cuddalore,islam,M,hindu,2017,12
ramanathapuram,hindu,F,christian,2017,12
tirunelveli,hindu,F,christian,2017,12
ernakullam-kerala,christian,F,hindu,2017,12
chennai,hindu,F,christian,2017,12
chennai,hindu,M,christian,2017,12
chennai,islam,M,hindu,2017,12
karur,hindu,M,islam,2017,12
villupuram,hindu,M,christian,2017,12
thoothukkudi,hindu,M,christian,2017,12
chennai,hindu,M,islam,2017,12
tiruvallur,hindu,F,islam,2017,12
chennai,hindu,M,christian,2017,12
chennai,hindu,F,islam,2017,12
cuddalore,hindu,M,islam,2017,12
chennai,hindu,F,islam,2017,12
kancheepuram,christian,F,hindu,2017,12
krishnagiri,hindu,F,islam,2017,12
thanjavur,christian,F,hindu,2017,12
chennai,hindu,M,islam,2017,12
salem,hindu,M,christian,2017,12
coimbatore,hindu,F,islam,2017,12
tirunelveli,christian,F,hindu,2017,12
chennai,islam,F,hindu,2017,12
chennai,christian,M,hindu,2017,12
thoothukkudi,hindu,F,christian,2017,12
chennai,hindu,F,islam,2017,12
chennai,hindu,M,islam,2017,12
virudhuangar,hindu,F,christian,2017,12
chennai,hindu,M,christian,2017,12
kancheepuram,hindu,M,christian,2017,12
cuddalore,hindu,F,christian,2017,12
vishakapattinam-andhra pradesh,hindu,F,islam,2017,12
ramanathapuram,hindu,F,islam,2017,12
vellore,hindu,F,islam,2017,12
chennai,hindu,M,christian,2017,12
chennai,hindu,M,islam,2017,12
kancheepuram,hindu,M,christian,2017,12
thanjavur,hindu,F,islam,2017,12
tiruchirappalli,hindu,F,islam,2017,12
kancheepuram,hindu,F,islam,2017,12
balakkad-kerala,hindu,F,islam,2017,12
coimbatore,hindu,F,islam,2017,12
chennai,hindu,M,christian,2017,12
tirunelveli,hindu,M,christian,2017,12
vellore,hindu,M,islam,2017,12
coimbatore,hindu,F,christian,2017,12
cuddalore,islam,F,hindu,2017,12
chennai,christian,F,hindu,2017,12
chennai,christian,F,hindu,2017,12
kancheepuram,christian,F,hindu,2017,12
ariyalur,hindu,M,christian,2017,12
erode,hindu,M,christian,2017,12
coimbatore,christian,M,islam,2017,12
coimbatore,christian,M,islam,2017,12
tiruppur,hindu,F,islam,2017,12
tiruppur,hindu,F,islam,2017,12
nagapattinam,hindu,F,islam,2017,12
thanjavur,hindu,M,islam,2017,12
tiruchirappalli,UNK,M,UNK,2017,12
tiruvallur,hindu,M,christian,2017,12
chennai,hindu,F,islam,2017,12
chennai,hindu,F,islam,2017,12
kancheepuram,hindu,F,islam,2017,12
chennai,hindu,F,islam,2017,12
chennai,hindu,M,christian,2017,12
chennai,hindu,M,christian,2017,12
chennai,hindu,F,islam,2017,12
thanjavur,christian,M,hindu,2017,12
chennai,hindu,M,christian,2017,12
chennai,hindu,M,christian,2017,12
chennai,hindu,M,islam,2017,12
coimbatore,hindu,M,christian,2017,12
chennai,islam,M,christian,2017,12
thiruvannamalai,christian,F,hindu,2017,12
kancheepuram,christian,M,islam,2017,12
virudhunagar,hindu,F,christian,2017,12
salem,hindu,M,christian,2017,12
the nilgiris,hindu,M,islam,2017,12
salem,hindu,M,islam,2017,12
kancheepuram,hindu,F,islam,2017,12
chennai,islam,M,christian,2017,12
erode,hindu,M,islam,2017,12
madurai,hindu,F,islam,2017,12
coimbatore,hindu,M,christian,2017,12
virudhunagar,islam,M,hindu,2017,12
vellore,UNK,M,UNK,2017,12
namakkal,hindu,M,christian,2017,12
perambalur,UNK,F,UNK,2017,12
virudhunagar,hindu,M,christian,2017,12
sivagangai,hindu,F,islam,2017,12
sivagangai,hindu,M,islam,2017,12
coimbatore,islam,M,hindu,2017,12
sivagangai,hindu,F,islam,2017,12
the nilgiris,hindu,F,christian,2017,12
tirunelveli,hindu,F,christian,2017,12
thanjavur,christian,F,hindu,2017,12
tirunelveli,hindu,F,christian,2017,12
virudhunagar,hindu,F,christian,2017,45
thanjavur,hindu,F,islam,2017,45
madurai,hindu,F,islam,2017,45
ramanathapuram,hindu,M,islam,2017,45
dindigul,hindu,F,islam,2017,45
theni,hindu,M,islam,2017,45
vellore,hindu,M,islam,2017,45
tirunelveli,christian,F,islam,2017,45
ramanathapuram,hindu,F,islam,2017,45
tirunelveli,hindu,M,islam,2017,45
tiruppur,hindu,M,islam,2017,45
kancheepuram,hindu,M,islam,2017,45
virudhunagar,hindu,M,islam,2017,45
virudhunagar,islam,F,hindu,2017,45
madurai,christian,F,hindu,2017,45
salem,hindu,M,islam,2017,45
thanjavur,hindu,F,islam,2017,45
theni,hindu,M,christian,2017,45
jamshitpur-bihar,islam,F,hindu,2017,45
cuddalore,islam,M,hindu,2017,45
salem,hindu,F,islam,2017,45
dindigul,hindu,M,islam,2017,45
coimbatore,christian,M,hindu,2017,45
kancheepuram,hindu,F,islam,2017,45
chennai,christian,F,islam,2017,45
madurai,hindu,F,christian,2017,45
kancheepuram,hindu,F,islam,2017,45
tiruppur,hindu,M,islam,2017,45
chennai,hindu,M,christian,2017,45
tiruppur,hindu,F,christian,2017,45
kancheepuram,hindu,M,islam,2017,45
coimbatore,hindu,F,islam,2017,45
kanyakumari,hindu,M,islam,2017,45
ramanathapuram,hindu,F,islam,2017,45
punemaharastra,hindu,F,christian,2017,45
erode,hindu,M,christian,2017,45
dindigul,hindu,F,christian,2017,45
salem,hindu,M,islam,2017,45
kancheepuram,hindu,M,islam,2017,45
chennai,islam,M,hindu,2017,45
tiruvallur,christian,F,hindu,2017,45
cuddalore,islam,M,hindu,2017,45
chennai,hindu,F,christian,2017,45
dindigul,christian,F,hindu,2017,45
kanyakumari,hindu,M,islam,2017,45
virudhunagar,hindu,M,christian,2017,45
thanjavur,islam,F,hindu,2017,45
tiruchirappalli,hindu,M,islam,2017,45
villupuram,hindu,F,christian,2017,45
dindigul,hindu,M,islam,2017,31
tiruppur,hindu,F,islam,2017,31
tiruppur,hindu,F,islam,2017,31
tiruppur,hindu,F,islam,2017,31
dindigul,hindu,M,islam,2017,31
dindigul,hindu,M,islam,2017,31
ramanathapuram,hindu,M,islam,2017,31
dindigul,christian,M,hindu,2017,31
tirunelveli,hindu,F,islam,2017,31
ramanathapuram,hindu,M,christian,2017,31
theni,hindu,M,islam,2017,31
theni,hindu,M,christian,2017,31
chennai,hindu,F,islam,2017,31
virudhunagar,hindu,F,christian,2017,31
madurai,hindu,F,islam,2017,31
tiruchirappalli,hindu,M,islam,2017,31
ramanathapuram,hindu,M,islam,2017,31
salem,christian,M,hindu,2017,31
madurai,hindu,F,islam,2017,31
nagapattinam,hindu,F,islam,2017,31
madurai,islam,M,hindu,2017,31
tiruchirappalli,hindu,F,islam,2017,31
madurai,islam,F,hindu,2017,31
kancheepuram,hindu,F,islam,2017,31
thanjavur,hindu,M,islam,2017,31
namakkal,hindu,F,islam,2017,31
chennai,hindu,F,islam,2017,31
thiruvannamalai,christian,F,islam,2017,31
